id,case,start_datetime,end_datetime,event
75,03,2018-03-10T20:38:31,2018-03-10T20:48:39,Kitchen
76,03,2018-03-10T20:49:11,2018-03-10T20:50:47,Livingroom
77,03,2018-03-10T20:51:19,2018-03-10T20:51:51,Kitchen
78,03,2018-03-10T20:52:23,2018-03-10T21:05:24,Restaurant/Bar
79,03,2018-03-10T21:05:56,2018-03-10T21:09:08,Kitchen
0,04,2018-03-12T08:35:51,2018-03-12T08:48:20,Kitchen
1,04,2018-03-12T08:48:52,2018-03-12T08:54:12,Restaurant/Bar
2,04,2018-03-12T08:54:44,2018-03-12T08:54:44,Kitchen
3,04,2018-03-12T08:55:16,2018-03-12T08:57:05,Restaurant/Bar
4,04,2018-03-12T08:57:37,2018-03-12T08:59:45,Kitchen
5,04,2018-03-12T09:00:17,2018-03-12T09:04:01,Livingroom
6,04,2018-03-12T09:04:33,2018-03-12T09:08:17,Kitchen
7,04,2018-03-12T09:44:53,2018-03-12T09:45:25,Livingroom
8,04,2018-03-12T09:45:57,2018-03-12T09:45:57,Kitchen
9,04,2018-03-12T09:47:01,2018-03-12T09:47:01,Bathroom
10,04,2018-03-12T09:47:33,2018-03-12T09:48:05,Pathways
11,04,2018-03-12T09:48:37,2018-03-12T09:50:13,Kitchen
12,04,2018-03-12T09:50:45,2018-03-12T09:50:45,Otherrooms
13,04,2018-03-12T09:51:49,2018-03-12T09:51:49,Transportation
14,04,2018-03-12T09:52:21,2018-03-12T09:52:21,Others
15,04,2018-03-12T09:52:53,2018-03-12T09:54:29,Pathways
16,04,2018-03-12T09:55:01,2018-03-12T10:16:02,Shop
17,04,2018-03-12T10:16:35,2018-03-12T10:19:15,Pathways
18,04,2018-03-12T10:19:47,2018-03-12T10:19:47,Transportation
19,04,2018-03-12T10:20:19,2018-03-12T10:20:19,Otherrooms
20,04,2018-03-12T10:20:39,2018-03-12T10:27:16,Kitchen
21,04,2018-03-12T10:27:48,2018-03-12T10:27:48,Otherrooms
22,04,2018-03-12T10:28:20,2018-03-12T10:28:20,Livingroom
23,04,2018-03-12T10:28:52,2018-03-12T10:28:52,Otherrooms
24,04,2018-03-12T10:29:24,2018-03-12T10:29:56,Livingroom
25,04,2018-03-12T10:30:28,2018-03-12T10:31:00,Transportation
26,04,2018-03-12T10:31:32,2018-03-12T10:31:32,Buildings
27,04,2018-03-12T10:32:04,2018-03-12T10:32:04,Garden
28,04,2018-03-12T10:32:36,2018-03-12T10:39:32,Pathways
29,04,2018-03-12T10:40:04,2018-03-12T12:10:45,Office
30,04,2018-03-12T12:11:17,2018-03-12T12:11:17,Pathways
31,04,2018-03-12T12:11:49,2018-03-12T12:11:49,Garden
32,04,2018-03-12T12:12:21,2018-03-12T12:19:17,Pathways
33,04,2018-03-12T12:19:49,2018-03-12T12:19:49,Transportation
34,04,2018-03-12T12:20:21,2018-03-12T12:20:53,Kitchen
35,04,2018-03-12T12:21:25,2018-03-12T12:21:57,Livingroom
36,04,2018-03-12T12:22:29,2018-03-12T12:29:06,Kitchen
37,04,2018-03-12T12:29:38,2018-03-12T12:30:10,Otherrooms
38,04,2018-03-12T12:30:42,2018-03-12T12:37:38,Kitchen
39,04,2018-03-12T12:38:10,2018-03-12T12:53:19,Restaurant/Bar
40,04,2018-03-12T12:53:51,2018-03-12T12:57:03,Kitchen
41,04,2018-03-12T13:48:07,2018-03-12T13:48:07,Transportation
42,04,2018-03-12T13:48:53,2018-03-12T13:51:33,Pathways
43,04,2018-03-12T13:52:05,2018-03-12T14:05:57,Transportation
44,04,2018-03-12T14:06:29,2018-03-12T14:23:23,Beach
